Fecha y Hora,Humedad (raw),Válvula,Observaciones
2025-10-07 16:50:28,826,OFF,
2025-10-07 16:51:32,823,OFF,
2025-10-07 16:51:32,823,OFF,
2025-10-07 16:51:32,824,OFF,
2025-10-07 16:51:32,823,OFF,
2025-10-07 16:51:32,820,OFF,
2025-10-07 16:51:32,820,OFF,
2025-10-07 16:51:39,820,OFF,
2025-10-07 16:51:56,817,OFF,
2025-10-07 16:52:36,813,OFF,
2025-10-07 16:52:36,818,OFF,
2025-10-07 16:52:36,830,OFF,
2025-10-07 16:52:36,830,OFF,
2025-10-07 16:52:40,828,OFF,
2025-10-07 16:52:48,825,OFF,
2025-10-07 16:52:58,824,OFF,
2025-10-07 16:55:14,824,OFF,
2025-10-07 16:55:14,824,OFF,
2025-10-07 16:55:14,825,OFF,
2025-10-07 16:55:14,829,OFF,
2025-10-07 16:55:14,830,OFF,
2025-10-07 16:55:14,832,OFF,
2025-10-07 16:55:14,831,OFF,
2025-10-07 16:55:14,831,OFF,
2025-10-07 16:55:14,831,OFF,
2025-10-07 16:55:14,832,OFF,
2025-10-07 16:55:14,832,OFF,
2025-10-07 16:55:14,830,OFF,
2025-10-07 16:55:14,829,OFF,
2025-10-07 16:59:25,829,OFF,
2025-10-07 16:59:25,832,OFF,
2025-10-07 16:59:25,833,OFF,
2025-10-07 16:59:25,833,OFF,
2025-10-07 16:59:25,833,OFF,
2025-10-07 16:59:25,834,OFF,
2025-10-07 16:59:25,832,OFF,
2025-10-07 16:59:25,833,OFF,
2025-10-07 16:59:25,833,OFF,
2025-10-07 16:59:25,833,OFF,
2025-10-07 16:59:25,828,OFF,
2025-10-07 16:59:25,828,OFF,
2025-10-07 16:59:25,829,OFF,
2025-10-07 16:59:25,829,OFF,
2025-10-07 16:59:25,827,OFF,
2025-10-07 16:59:25,829,OFF,
2025-10-07 16:59:25,829,OFF,
2025-10-07 16:59:25,831,OFF,
2025-10-07 16:59:25,829,OFF,
2025-10-07 16:59:25,827,OFF,
2025-10-07 16:59:25,831,OFF,
2025-10-07 16:59:25,832,OFF,
2025-10-07 16:59:25,831,OFF,
2025-10-07 16:59:25,834,OFF,
2025-10-07 16:59:25,829,OFF,
2025-10-07 17:06:25,831,OFF,
2025-10-07 17:06:25,833,OFF,
2025-10-07 17:06:25,835,OFF,
2025-10-07 17:06:25,835,OFF,
2025-10-07 17:06:25,835,OFF,
2025-10-07 17:06:25,835,OFF,
2025-10-07 17:06:25,836,OFF,
2025-10-07 17:06:25,837,OFF,
2025-10-07 17:06:25,837,OFF,
2025-10-07 17:06:25,836,OFF,
2025-10-07 17:06:25,835,OFF,
2025-10-07 17:06:25,835,OFF,
2025-10-07 17:06:25,836,OFF,
2025-10-07 17:06:25,838,OFF,
2025-10-07 17:06:25,837,OFF,
2025-10-07 17:06:25,838,OFF,
2025-10-07 17:06:25,838,OFF,
2025-10-07 17:06:25,838,OFF,
2025-10-07 17:06:25,842,OFF,
2025-10-07 17:06:25,843,OFF,
2025-10-07 17:06:25,840,OFF,
2025-10-07 17:06:25,841,OFF,
2025-10-07 17:06:25,840,OFF,
2025-10-07 17:06:25,843,OFF,
2025-10-07 17:06:25,843,OFF,
2025-10-07 17:06:25,842,OFF,
2025-10-07 17:06:25,842,OFF,
2025-10-07 17:06:25,842,OFF,
2025-10-07 17:06:25,842,OFF,
2025-10-07 17:06:25,843,OFF,
2025-10-07 17:06:25,827,OFF,
2025-10-07 17:06:25,831,OFF,
2025-10-07 17:06:25,857,OFF,
2025-10-07 17:06:25,837,OFF,
2025-10-07 17:06:25,834,OFF,
2025-10-07 17:06:25,832,OFF,
2025-10-07 17:06:25,833,OFF,
2025-10-07 17:06:25,831,OFF,
2025-10-07 17:06:25,831,OFF,
2025-10-07 17:06:25,831,OFF,
2025-10-07 17:06:25,832,OFF,
2025-10-07 17:06:25,831,OFF,
2025-10-07 17:07:10,828,OFF,
2025-10-07 17:07:10,825,OFF,
2025-10-07 17:07:10,824,OFF,
2025-10-07 17:07:10,823,OFF,
2025-10-07 17:07:10,827,OFF,
2025-10-07 17:08:08,824,OFF,
2025-10-07 17:08:08,821,OFF,
2025-10-07 17:08:08,826,OFF,
2025-10-07 17:08:08,827,OFF,
2025-10-07 17:08:08,827,OFF,
2025-10-07 17:08:08,830,OFF,
2025-10-07 17:09:28,830,OFF,
2025-10-07 17:09:28,829,OFF,
2025-10-07 17:09:28,831,OFF,
2025-10-07 17:09:28,831,OFF,
2025-10-07 17:09:28,1023,OFF,
2025-10-07 17:09:28,1023,OFF,
2025-10-07 17:09:28,1023,OFF,
2025-10-07 17:09:30,1023,OFF,
2025-10-07 17:10:17,1023,OFF,
2025-10-07 17:10:17,1023,OFF,
2025-10-07 17:10:17,810,OFF,
2025-10-07 17:10:17,308,OFF,
2025-10-07 17:10:24,341,OFF,
2025-10-07 17:10:39,347,OFF,
2025-10-07 17:10:39,348,OFF,
2025-10-07 17:10:50,350,OFF,
2025-10-07 17:10:58,351,OFF,
2025-10-07 17:11:08,351,OFF,
2025-10-07 17:11:20,351,OFF,
2025-10-07 17:11:28,350,OFF,
2025-10-07 17:12:50,351,OFF,
2025-10-07 17:12:50,350,OFF,
2025-10-07 17:12:50,348,OFF,
2025-10-07 17:12:50,348,OFF,
2025-10-07 17:12:50,348,OFF,
2025-10-07 17:12:50,349,OFF,
2025-10-07 17:12:50,348,OFF,
2025-10-07 17:12:50,345,OFF,
2025-10-07 17:12:58,346,OFF,
2025-10-07 17:13:11,346,ON,
2025-10-07 17:13:19,347,OFF,
2025-10-07 17:20:24,347,ON,
2025-10-07 17:20:24,348,ON,
2025-10-07 17:20:24,348,ON,
2025-10-07 17:20:24,348,ON,
2025-10-07 17:20:24,347,ON,
2025-10-07 17:20:24,349,ON,
2025-10-07 17:20:24,349,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,351,ON,
2025-10-07 17:20:24,351,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,351,ON,
2025-10-07 17:20:24,349,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,351,ON,
2025-10-07 17:20:24,352,ON,
2025-10-07 17:20:24,352,ON,
2025-10-07 17:20:24,351,ON,
2025-10-07 17:20:24,351,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,351,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,353,ON,
2025-10-07 17:20:24,352,ON,
2025-10-07 17:20:24,352,ON,
2025-10-07 17:20:24,351,ON,
2025-10-07 17:20:24,350,ON,
2025-10-07 17:20:24,352,ON,
2025-10-07 17:20:24,354,ON,
2025-10-07 17:20:24,356,ON,
2025-10-07 17:20:24,355,ON,
2025-10-07 17:20:24,355,ON,
2025-10-07 17:20:24,353,ON,
2025-10-07 17:20:24,353,ON,
2025-10-07 17:20:24,355,ON,
2025-10-07 17:20:24,356,ON,
2025-10-07 17:20:24,356,ON,
2025-10-07 17:20:24,357,ON,
2025-10-07 17:21:12,357,ON,
2025-10-07 17:21:12,356,ON,
2025-10-07 17:21:12,356,ON,
2025-10-07 17:21:12,358,ON,
2025-10-07 17:21:12,359,ON,
2025-10-07 17:21:20,359,ON,
2025-10-07 17:22:32,358,ON,
2025-10-07 17:22:32,357,OFF,
2025-10-07 17:22:32,357,OFF,
2025-10-07 17:22:32,357,OFF,
2025-10-07 17:22:32,357,OFF,
2025-10-07 17:22:32,358,OFF,
2025-10-07 17:22:32,358,OFF,
2025-10-07 17:22:50,358,OFF,
2025-10-07 17:22:50,359,OFF,
2025-10-07 17:24:09,359,OFF,
2025-10-07 17:24:09,358,ON,
2025-10-07 17:24:09,358,ON,
2025-10-07 17:24:09,359,ON,
2025-10-07 17:24:09,359,ON,
2025-10-07 17:24:09,359,ON,
2025-10-07 17:24:09,359,ON,
2025-10-07 17:24:09,359,ON,
2025-10-07 17:24:21,358,ON,
2025-10-07 17:24:38,358,OFF,
2025-10-07 17:24:38,357,OFF,
2025-10-07 17:25:10,358,ON,
2025-10-07 17:25:10,357,ON,
2025-10-07 17:25:10,358,OFF,
2025-10-07 17:25:26,357,OFF,
2025-10-07 17:25:48,357,ON,
2025-10-07 17:25:48,359,OFF,
2025-10-07 17:25:48,359,OFF,
2025-10-07 17:26:46,358,OFF,
2025-10-07 17:26:46,358,ON,
2025-10-07 17:26:46,357,ON,
2025-10-07 17:26:46,359,ON,
2025-10-07 17:26:46,358,ON,
2025-10-07 17:28:22,358,ON,
2025-10-07 17:28:22,358,OFF,
2025-10-07 17:28:22,359,OFF,
2025-10-07 17:28:22,359,OFF,
2025-10-07 17:28:22,358,OFF,
2025-10-07 17:28:22,359,OFF,
2025-10-07 17:28:22,359,OFF,
2025-10-07 17:28:22,357,OFF,
2025-10-07 17:28:22,357,OFF,
2025-10-07 17:28:22,358,OFF,
2025-10-07 17:28:29,359,OFF,
2025-10-07 17:28:39,359,OFF,
2025-10-07 17:29:17,361,OFF,
2025-10-07 17:29:17,361,ON,
2025-10-07 17:29:17,358,ON,
2025-10-07 17:29:27,359,ON,
2025-10-07 17:29:46,360,OFF,
2025-10-07 17:29:46,360,ON,
2025-10-07 17:32:47,359,ON,
2025-10-07 17:32:47,358,OFF,
2025-10-07 17:32:47,359,OFF,
2025-10-07 17:32:47,358,OFF,
2025-10-07 17:32:47,357,OFF,
2025-10-07 17:32:47,357,OFF,
2025-10-07 17:32:47,357,OFF,
2025-10-07 17:32:47,357,OFF,
2025-10-07 17:32:47,358,OFF,
2025-10-07 17:32:47,359,OFF,
2025-10-07 17:32:47,359,OFF,
2025-10-07 17:32:47,359,OFF,
2025-10-07 17:32:47,358,OFF,
2025-10-07 17:32:47,359,OFF,
2025-10-07 17:32:47,1023,OFF,
2025-10-07 17:32:47,1009,OFF,
2025-10-07 17:32:47,1023,OFF,
2025-10-07 17:32:47,1023,OFF,
2025-10-07 17:32:52,1023,OFF,
2025-10-07 17:32:58,1021,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1022,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:38:49,1023,OFF,
2025-10-07 17:46:38,1023,ON,Arduino Uno | Riego automático activado
2025-10-07 17:47:06,1023,ON,Arduino Uno | Lectura normal
2025-10-07 17:47:06,1023,ON,Arduino Uno | Lectura normal
2025-10-07 17:47:12,1023,ON,Arduino Uno | Lectura normal
2025-10-07 17:47:17,1023,ON,Arduino Uno | Lectura normal
2025-10-07 17:47:33,1023,ON,Arduino Uno | Riego automático activado
2025-10-07 17:47:48,1023,ON,Arduino Uno | Lectura normal
2025-10-07 17:47:48,369,OFF,Arduino Uno | Riego automático desactivado
2025-10-07 17:49:58,366,OFF,Arduino Uno | Riego automático desactivado
2025-10-07 17:49:58,356,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,355,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,358,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,359,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,358,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,360,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,361,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,363,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,364,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,366,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,367,OFF,Arduino Uno | Lectura normal
2025-10-07 17:49:58,369,OFF,Arduino Uno | Lectura normal
